,aggregate_1,aggregate_2,aggregate_3,aggregate_4,aggregate_5,aggregate_6,aggregate_7,aggregate_8,aggregate_9,aggregate_10,aggregate_11,aggregate_12,fraction_1,fraction_2,fraction_3,fraction_4,fraction_5,fraction_6,fraction_7,fraction_8,fraction_9,fraction_10,fraction_11,fraction_12,fraction_13,fraction_14,fraction_15,fraction_16,fraction_17,fraction_18,fraction_19,fraction_20,fraction_21,fraction_22,fraction_23,fraction_24,hvac_1,hvac_2,hvac_3,hvac_4,hvac_5,hvac_6,hvac_7,hvac_8,hvac_9,hvac_10,hvac_11,hvac_12,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,wm_1,wm_2,wm_3,wm_4,wm_5,wm_6,wm_7,wm_8,wm_9,wm_10,wm_11,wm_12,furnace_1,furnace_2,furnace_3,furnace_4,furnace_5,furnace_6,furnace_7,furnace_8,furnace_9,furnace_10,furnace_11,furnace_12,dw_1,dw_2,dw_3,dw_4,dw_5,dw_6,dw_7,dw_8,dw_9,dw_10,dw_11,dw_12,dr_1,dr_2,dr_3,dr_4,dr_5,dr_6,dr_7,dr_8,dr_9,dr_10,dr_11,dr_12,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11,light_12,mins_hvac,autocorr,max_seasonal,stdev_seasonal,max_trend,stdev_trend,disag_fridge,area,num_rooms,total_occupants
26,534.915893555,408.059631348,401.902648926,501.315460205,972.204406738,1459.76623535,1376.04943848,1734.19555664,1435.45336914,1043.31774902,726.693359375,813.220214844,0.92961204052,0.899249315262,0.855963587761,1.0,0.79505687952,0.567863881588,0.423032581806,0.353334933519,0.311117261648,0.283297389746,0.26981574297,0.268516719341,0.307207047939,0.230890110135,0.215402662754,0.221499621868,0.2499922961,0.264338970184,0.330261796713,0.476827681065,0.599519371986,0.518585681915,0.469806164503,0.638272643089,8.06094074249,2.26819109917,16.5326366425,47.9294433594,252.918914795,624.465026855,639.564880371,821.793701172,582.372009277,263.120178223,47.6716575623,0.548062980175,0.0,0.0,0.0,0.0,0.0,0.0945539996028,0.0,0.0,0.0,0.0,30.697971344,46.7932319641,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0338554382,26.9863109589,0.0,0.0,0.0,0.0,0.0,0.0163880009204,0.0,0.0,0.0,0.0,7.80356121063,10.5904226303,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,72423.0,0.521017126283,1619.10490476,661.326512123,3230.34373824,655.072516731,2078512.0,2047.0,6.0,4.0
94,559.812927246,385.641143799,419.379150391,380.643280029,430.320739746,587.913879395,644.695800781,465.078521729,588.891967773,406.837554932,339.011505127,316.998596191,0.712380588055,0.826072275639,0.92966645956,1.0,0.998377799988,0.765089809895,0.667377591133,0.538793444633,0.489481776953,0.450319588184,0.438988357782,0.49492546916,0.475349485874,0.434646606445,0.351040959358,0.292207628489,0.316697925329,0.357428520918,0.350104868412,0.377402633429,0.380011707544,0.413793087006,0.688038170338,0.664072155952,1.13315200806,0.000339999998687,0.0525810010731,1.94191002846,35.3420982361,118.666191101,129.481460571,88.7382354736,104.127075195,25.6043300629,3.37774705887,3.2244579792,48.3241157532,40.6596984863,47.6957435608,49.9066123962,57.8110351562,58.6554908752,61.851524353,64.0620346069,60.3739547729,57.1977233887,47.9228973389,46.7512588501,2.28976392746,0.916231989861,2.47086501122,4.16430330276,1.54771399498,2.11342310905,2.04078197479,1.69704198837,3.41900610924,0.84549498558,4.26057386398,2.0916800499,22.8770866394,13.0824689865,11.8903779984,18.0380382538,18.5330257416,28.6680698395,30.9687652588,23.5153865814,27.2404098511,12.8856945038,10.6612100601,24.7054042816,4.95278024673,1.0578930378,1.95085203648,3.95969104767,4.38972330093,1.52063298225,2.47878694534,0.650335013866,3.0940849781,5.3923830986,2.30440115929,5.24841022491,12.9183511734,9.36740779877,9.1910161972,10.7425889969,11.020980835,6.3555688858,6.49508810043,2.93700504303,9.93204593658,4.26788425446,10.7600650787,17.1886825562,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,28509.0,0.378661377626,514.163603147,230.487570835,1654.51319965,232.776309188,1898458.0,1713.0,3.0,2.0
252,1455.10229492,806.494140625,1240.78515625,1385.44580078,2350.59033203,2997.53393555,2261.58813477,2258.89208984,1832.88696289,1322.90307617,1102.99060059,1119.47998047,1.0,0.951454341412,0.856954932213,0.732342541218,0.583688616753,0.505020260811,0.471838265657,0.457015931606,0.447512716055,0.424957066774,0.391768276691,0.396166265011,0.450332164764,0.527394354343,0.598918616772,0.670006871223,0.696735143661,0.688467979431,0.71040725708,0.724278569221,0.796500325203,0.860437631607,0.89629983902,0.972920835018,1.13315200806,0.000339999998687,0.0525810010731,1.94191002846,35.3420982361,118.666191101,129.481460571,88.7382354736,104.127075195,25.6043300629,3.37774705887,3.2244579792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.102577999234,0.0,0.0,0.0,0.0,46.1503944397,140.311767578,,0.54560328501,1156.35769142,644.112065271,5587.84203339,1034.86261374,2317450.0,2700.0,4.0,4.0
370,879.270324707,807.491271973,756.234924316,771.024353027,1302.82971191,1909.64135742,1948.6895752,2658.14990234,1965.10839844,1365.27941895,964.706359863,762.09362793,0.958464801311,0.94002366066,0.969006717205,0.928153753281,1.0,0.877892553806,0.680630207062,0.526850104332,0.427213460207,0.39515131712,0.443772107363,0.460081160069,0.48397731781,0.507228195667,0.645749509335,0.715382993221,0.746762275696,0.766802668571,0.821174740791,0.897279441357,0.953428268433,0.860126256943,0.863870024681,0.896003067493,1.43208003044,1.45193600655,1.62455403805,2.10760903358,275.581604004,815.937805176,833.662353516,1169.24938965,783.030151367,333.768096924,37.9759941101,1.67703306675,48.1593513489,45.6737632751,47.8109016418,46.7073974609,47.8599662781,44.2533111572,53.1141395569,52.1665916443,49.6650772095,49.9816169739,45.9724197388,7.94981193542,4.97756624222,5.49982309341,6.4215631485,7.1338801384,5.45917606354,5.68599033356,5.40948486328,4.89506530762,3.8436319828,5.21944189072,10.1617164612,1.49353504181,30.081993103,25.1274452209,19.622335434,32.9120864868,95.7402114868,241.520019531,308.036682129,413.595733643,287.24621582,154.779907227,35.1201629639,7.53598117828,17.2137069702,20.5170459747,15.9066619873,12.8609256744,26.1435871124,14.3517570496,9.24679279327,18.5798435211,8.787317276,9.72379589081,16.9679374695,2.65167713165,48.9840202332,61.0372619629,56.9575996399,72.6376190186,62.749042511,71.798789978,59.6843986511,55.2547454834,42.4658126831,46.7699584961,112.047492981,14.7927885056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104339.0,0.505477757929,705.017689937,478.360700191,4714.92011388,979.067749741,2128680.0,2682.0,8.0,2.0
410,347.214996338,239.300384521,235.6953125,271.780029297,430.639709473,775.190307617,889.972717285,998.072265625,682.868774414,444.452026367,334.632080078,542.285644531,0.742520093918,0.639920413494,0.66800737381,0.789019525051,1.0,0.617026805878,0.45063829422,0.401018738747,0.369350463152,0.35194081068,0.325890362263,0.307473927736,0.276914745569,0.338365405798,0.341143965721,0.299874335527,0.290654659271,0.310039430857,0.293234407902,0.350242942572,0.492214530706,0.525484740734,0.574927866459,0.664285600185,0.167433008552,0.136815994978,0.949160993099,11.7707834244,145.884658813,459.6378479,511.527160645,589.161743164,333.388153076,101.821739197,0.132464006543,0.159341007471,26.8555965424,24.4879055023,27.7873325348,34.9481582642,43.9401550293,44.9379386902,46.7652320862,49.4038200378,44.7773704529,51.341342926,40.0786743164,49.1758651733,,,,,,,,,,,,,35.0479469299,15.2577724457,12.9442596436,8.5684595108,28.3679847717,75.4300689697,84.1133651733,93.729888916,56.6297035217,19.9620285034,16.8829212189,41.1496734619,,,,,,,,,,,,,107.803634644,68.1294937134,76.2138748169,62.6072273254,17.4479846954,1.42891800404,1.70110499859,48.13621521,51.4464035034,57.3168945312,79.4954147339,88.3503265381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42706.0,0.298126393334,969.353569868,283.718718424,2273.30660025,425.307331111,1887364.0,1299.0,8.0,2.0
545,699.864013672,670.649719238,754.993286133,696.883361816,1226.83410645,1940.21508789,1791.53942871,2202.53149414,1438.03234863,1099.36645508,573.181884766,800.50012207,0.809619069099,0.735339283943,0.64312851429,0.483397781849,0.401896178722,0.345802932978,0.312313079834,0.324781388044,0.348320871592,0.426447212696,0.459640771151,0.304279506207,0.322665929794,0.354333490133,0.412499219179,0.447880089283,0.529220402241,0.626895427704,0.691366016865,0.817167460918,0.933789491653,1.0,0.990076124668,0.939000546932,4.56694793701,1.54064202309,32.2791938782,108.417007446,379.72354126,955.640014648,890.840698242,1146.28417969,707.87322998,337.926300049,8.04596424103,1.80631804466,37.5438537598,35.6025924683,41.9303474426,40.2389335632,48.8307991028,53.9377365112,56.7508468628,57.4432373047,50.8983917236,52.1688690186,38.2020759583,28.4170131683,9.41167640686,10.6369342804,12.7620534897,9.10946750641,12.6376981735,13.2664089203,7.24244213104,15.4200878143,6.89319419861,11.1660423279,4.4907541275,10.9136428833,64.0130386353,25.6887512207,34.2506141663,48.8469848633,144.602310181,289.68069458,271.705383301,332.902374268,223.565032959,121.765716553,49.5931663513,91.9996337891,16.5520172119,16.4683933258,18.1248893738,12.4921445847,18.0270900726,15.841501236,12.6292495728,18.67927742,13.1806106567,19.2509021759,8.89873504639,17.1080360413,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98437.0,0.54378040956,1224.65104681,634.707593657,3883.4083341,838.588487603,2148030.0,2445.0,12.0,2.0
624,509.132843018,258.300506592,239.295806885,266.671600342,368.332214355,613.53717041,808.440368652,768.58013916,602.243774414,389.846801758,406.7762146,727.159973145,0.837637960911,0.757189393044,0.681674182415,0.628749132156,0.452208459377,0.383574843407,0.342790663242,0.325888901949,0.326195597649,0.311436802149,0.327829807997,0.491500347853,0.646443009377,0.552295386791,0.459319978952,0.454216301441,0.523215174675,0.529464364052,0.530654728413,0.549697220325,0.720215022564,0.780432939529,1.0,0.927938938141,178.755523682,8.7733259201,0.000153000000864,10.3613471985,78.7397537231,315.469696045,416.251861572,420.38104248,263.172515869,59.0225563049,73.328704834,190.232437134,29.4299411774,29.8367176056,33.2271308899,35.1390838623,39.6250953674,40.4487113953,39.1233596802,43.9896240234,41.674156189,42.1280250549,31.2605018616,16.8868999481,2.56688094139,2.27759194374,2.08299303055,2.25442099571,2.49993515015,2.02486991882,2.40728497505,2.35246014595,2.43548798561,2.48052096367,2.22244405746,1.13231897354,27.5760231018,15.4277553558,13.4021034241,18.1507987976,27.1548309326,47.5517196655,72.0277633667,60.9927368164,42.518497467,30.8610019684,26.7271957397,24.5199680328,22.1898784637,21.830499649,18.2570304871,22.8358955383,20.8881893158,19.2808055878,14.7384567261,20.9435405731,22.9025192261,20.1369590759,0.869890034199,6.68989133835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09971904755,0.0974610000849,11.3849172592,69.3731918335,57.415763855,55.0268440247,56.7032623291,65.651008606,59.8840942383,72.0210266113,68.1798934937,79.6134643555,47.6071243286,16.5378379822,9.9491481781,59696.0,0.397355782359,488.026059973,220.682900266,2633.40592241,349.615009985,1932084.0,2100.0,7.0,4.0
871,593.218200684,510.632568359,572.938659668,576.606506348,638.709106445,889.021362305,865.280822754,1017.44390869,758.514038086,528.754821777,574.11328125,692.386047363,0.802765250206,0.957527577877,0.976989090443,0.96075552702,0.726551413536,0.53984028101,0.433734834194,0.38919955492,0.370061218739,0.349809169769,0.349195241928,0.500486075878,0.748938262463,0.94421672821,0.774190843105,0.662748277187,0.743478238583,0.737996280193,0.736854314804,0.65140491724,0.66259175539,1.0,0.975034475327,0.92377448082,28.8109035492,26.1160469055,28.8948669434,28.1364631653,81.0820617676,303.241821289,329.422332764,422.175384521,266.699188232,79.8574676514,33.912689209,29.4484195709,35.0636062622,64.7787017822,78.8588867188,78.5475463867,43.6383705139,0.523667991161,0.214285001159,0.704632997513,45.9373855591,68.3160324097,58.5562782288,54.3939323425,1.06773602962,2.06561899185,2.28775811195,3.16716814041,2.2803800106,1.90796101093,1.84706699848,2.41894698143,1.89006006718,1.31869006157,2.09215593338,3.16048693657,14.2952318192,23.5594673157,19.9823951721,14.1886253357,24.1822967529,72.302772522,79.534538269,92.4621887207,64.8102416992,19.8323020935,25.7153224945,47.1081047058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75581645966,11.4817657471,22.4505062103,19.9249687195,19.3538379669,45.6210975647,63.0253601074,63.4202842712,48.5263824463,40.9201049805,34.2613067627,51.981174469,39.6478614807,39.8551063538,67.6257629395,91.0013275146,13.9118146896,33.8252906799,31.6956501007,45.8072166443,59.242893219,70.2065658569,62.7899589539,67.2906570435,15.2242479324,0.0,0.0,0.0,44673.0,0.243517602855,550.51860314,278.405626581,2088.38748948,334.859446725,2099440.0,1652.0,8.0,4.0
1169,563.075317383,388.092285156,484.547607422,387.390625,531.063964844,1082.44616699,989.381469727,851.158447266,776.004394531,517.094909668,428.084625244,374.37210083,0.934077560902,0.86618489027,0.747997760773,0.639361083508,0.469632655382,0.34749981761,0.302505016327,0.274438172579,0.258505374193,0.252177476883,0.252240002155,0.259208470583,0.319248378277,0.343395680189,0.360386550426,0.414774060249,0.480589896441,0.586131989956,0.818982481956,0.726505637169,0.714369773865,1.0,0.964788794518,0.960175871849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6843931675,0.788901984692,0.815456032753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453125,41.6059036255,33.0321388245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152235001326,0.663765013218,0.123929999769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32234406471,13.7607011795,27.7850208282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62111997604,3.2001991272,1.60262405872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51756286621,11.3467521667,12.3444480896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20127677917,18.7828063965,15.9828901291,0.0,0.378127018022,668.802029405,388.423457937,2518.13888359,422.951723741,1891690.0,1430.0,6.0,2.0
1283,887.49029541,864.846069336,815.372131348,712.561523438,1104.25756836,1137.18481445,1371.61865234,2111.50805664,1674.86315918,1175.38696289,781.008544922,825.588012695,0.965788006783,0.878825724125,0.809001386166,0.756706058979,0.701058924198,0.655444204807,0.603197395802,0.558028042316,0.529109477997,0.510605454445,0.502567231655,0.497553139925,0.547458708286,0.50506657362,0.492290437222,0.516658246517,0.548742592335,0.587182283401,0.636224985123,0.723726034164,0.823598444462,0.900927126408,0.955496907234,1.0,0.0714510008693,0.0746470019221,9.49007987976,74.5857009888,371.440917969,506.097961426,679.166748047,1222.64916992,886.456604004,423.111114502,31.7783889771,0.108817003667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0448799990118,0.143428996205,0.338232010603,0.263669997454,0.357136011124,0.492711007595,0.292434006929,0.0685269981623,0.417520016432,0.253011018038,0.0869719982147,0.0469370000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.20127677917,18.7828063965,15.9828901291,81842.0,0.647778132512,718.237156719,369.483222925,4264.51803843,655.271175662,2043024.0,2500.0,10.0,5.0
1334,307.864196777,226.051452637,314.047149658,318.607727051,263.513244629,312.818054199,302.7059021,248.782485962,353.104278564,234.46206665,267.034667969,341.524810791,0.840038478374,0.917120456696,0.980077028275,1.0,0.950950562954,0.866307020187,0.645459353924,0.497002154589,0.444431304932,0.429053425789,0.409851700068,0.403573423624,0.38932543993,0.416907340288,0.586101233959,0.579133033752,0.55215638876,0.523932635784,0.530682563782,0.534257531166,0.545446157455,0.614115417004,0.639568626881,0.724359512329,0.150518000126,0.208215996623,0.293675005436,0.202572003007,0.337806999683,45.3923797607,31.1945419312,34.9656181335,50.4660644531,1.15987598896,0.267392992973,0.133976995945,0.0,9.10968780518,78.6190338135,74.0763626099,84.6804504395,92.7899932861,93.8330688477,81.223487854,98.4845199585,76.6226577759,66.2749404907,63.8493499756,,,,,,,,,,,,,44.075340271,15.774266243,14.4584150314,9.55449295044,5.03851127625,11.631280899,9.35671520233,10.3899068832,12.674197197,4.17647504807,30.0854110718,58.6019248962,10.3512487411,7.27569389343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,92.5518035889,75.1142807007,23.8981933594,30.4929676056,34.3237838745,32.1045837402,26.9129390717,13.8376941681,37.0992202759,26.6428260803,26.9595870972,42.2314529419,5017.0,0.255654575401,241.532680979,117.300385426,1654.09201765,154.665931523,1703118.0,1100.0,5.0,2.0
1642,447.488830566,435.971252441,638.865783691,648.414001465,1053.77172852,1505.7545166,1471.12402344,1679.45300293,1362.66589355,792.400024414,550.07611084,561.972839355,0.923351466656,0.83297753334,0.926183760166,0.939477801323,0.783596396446,0.668251991272,0.594311833382,0.540921807289,0.485017299652,0.449352562428,0.391641288996,0.37763234973,0.376751184464,0.351232260466,0.36322298646,0.363926827908,0.376934409142,0.433366179466,0.518684446812,0.554387032986,0.614874124527,0.800493955612,0.902166485786,1.0,0.0093160001561,2.10980200768,9.69365501404,28.2485256195,185.528671265,502.067932129,479.907287598,660.282043457,476.429626465,164.873565674,20.4462242126,0.0522750020027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8479919434,140.850708008,91.2167510986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34577894211,3.60537695885,3.60743403435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9614181519,27.1470451355,30.620059967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44951200485,8.44362831116,6.98382091522,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63061.0,0.513133255985,875.03959194,448.839534369,3903.71319707,711.300999861,2108298.0,1720.0,11.0,3.0
1697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.2657928467,74.6036987305,83.2356719971,81.7125244141,84.6380004883,83.9434356689,90.0494766235,91.0496520996,86.6773376465,90.3555603027,84.8903503418,86.3963851929,5.1664018631,3.79030299187,4.00698518753,4.4798913002,3.658162117,3.77989912033,3.60864114761,4.31692886353,4.46875619888,6.07573223114,6.79746723175,5.94862318039,49.3860206604,28.6515789032,50.6842956543,74.0777740479,133.400405884,229.364440918,215.392105103,231.859313965,193.544464111,130.805358887,58.470905304,66.7077941895,33.423614502,17.6497573853,18.98072052,22.0223274231,20.2964878082,19.0662479401,31.3007583618,31.8992595673,35.1496429443,46.4929084778,27.1513462067,25.5665206909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,210192.0,2085.0,8.0,4.0
1800,662.039367676,486.96685791,569.320556641,532.184753418,883.029785156,1339.4128418,1440.19189453,1448.35351562,1135.55712891,605.393188477,583.178222656,567.587097168,0.771895051003,0.816291034222,0.994019448757,1.0,0.835564792156,0.663657724857,0.545632719994,0.493439823389,0.451954603195,0.421823620796,0.423032701015,0.410040855408,0.339701324701,0.395137280226,0.395050227642,0.374041259289,0.327249020338,0.329765468836,0.374776035547,0.425561189651,0.494256466627,0.57037872076,0.601068794727,0.793075442314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48401424268,1004.14061265,430.41534594,3104.07535871,601.451138955,2187504.0,2075.0,9.0,1.0
1953,402.578887939,331.53503418,306.748504639,333.473693848,430.561859131,1132.59179688,1136.46057129,1221.66577148,803.799316406,408.559020996,372.789123535,545.382446289,1.0,0.982487142086,0.882827281952,0.799081146717,0.505087196827,0.356634318829,0.297443568707,0.269458413124,0.249964490533,0.232103779912,0.190994143486,0.181484863162,0.380633026361,0.506354093552,0.380483478308,0.291551321745,0.29300865531,0.342713057995,0.451059192419,0.487521320581,0.505225658417,0.567291617393,0.725739836693,0.953948438168,0.0274379998446,0.0501670017838,6.87408590317,17.772310257,112.348464966,638.533630371,605.422668457,676.193481445,383.175201416,84.6336212158,0.919955015182,0.0723860040307,36.9502830505,34.3917312622,35.7624740601,39.2497711182,43.9984321594,43.9596214294,42.242313385,43.2982521057,40.9855041504,38.7649803162,36.7725982666,31.8921031952,,,,,,,,,,,,,53.1855049133,24.0921287537,16.8091754913,9.35115623474,21.9849777222,105.367614746,106.555427551,112.351097107,68.4581680298,18.8011169434,31.2757511139,58.8925552368,,,,,,,,,,,,,,,,,,,,,,,,,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,62175.0,0.411274417382,827.363515906,414.009636209,2986.60311206,567.123409939,1964506.0,1600.0,8.0,2.0
2129,871.519287109,666.277038574,808.880493164,839.51361084,1122.2824707,1703.04968262,1764.66821289,1909.83325195,1568.9675293,1140.80090332,803.306335449,963.048400879,0.969111979008,1.0,0.976281404495,0.905527472496,0.75724285841,0.576078951359,0.48726144433,0.444117158651,0.415048927069,0.399203598499,0.379775673151,0.410734832287,0.516443729401,0.474736124277,0.458998739719,0.459861516953,0.485098719597,0.531529307365,0.555968940258,0.580946445465,0.604778647423,0.731541275978,0.777278125286,0.86503046751,10.0756454468,1.26281106472,48.0916404724,122.545265198,344.335083008,789.619018555,835.208251953,945.836486816,662.707763672,297.439880371,34.3376731873,1.76626598835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9759292603,48.4096946716,54.5570793152,51.0727767944,51.2056007385,52.8695259094,54.1688690186,53.93516922,52.5987319946,23.4549350739,0.0,0.0,86701.0,0.525741669058,941.03693909,496.90248782,3501.67013677,638.136712774,2080692.0,2042.0,7.0,2.0
